#deldood1	deldood2	deldood3	phcorr	amprat	ilatfac	iconst
-2.000000	-1.000000	0.000000	0.000000	0.066500	0.000000	16.000000
-2.000000	0.000000	0.000000	0.000000	0.359600	0.000000	16.000000
-1.000000	-1.000000	0.000000	0.750000	0.033100	1.000000	16.000000
-1.000000	0.000000	0.000000	0.250000	0.222700	1.000000	16.000000
-1.000000	1.000000	0.000000	0.750000	0.029000	1.000000	16.000000
0.000000	-1.000000	0.000000	0.500000	0.029000	0.000000	16.000000
0.000000	1.000000	0.000000	0.000000	0.200400	0.000000	16.000000
0.000000	2.000000	0.000000	0.500000	0.005400	0.000000	16.000000
0.000000	-1.000000	0.000000	0.500000	0.028200	0.000000	17.000000
0.000000	1.000000	0.000000	0.000000	0.218700	0.000000	17.000000
0.000000	-1.000000	0.000000	0.500000	0.007800	0.000000	18.000000
0.000000	-2.000000	0.000000	0.000000	0.000800	0.000000	19.000000
0.000000	-1.000000	0.000000	0.500000	0.011200	0.000000	19.000000
0.000000	0.000000	2.000000	0.500000	0.000400	0.000000	19.000000
1.000000	0.000000	0.000000	0.750000	0.000400	1.000000	19.000000
2.000000	0.000000	0.000000	0.500000	0.001500	0.000000	19.000000
2.000000	1.000000	0.000000	0.500000	0.000300	0.000000	19.000000
0.000000	0.000000	-2.000000	0.000000	0.353400	0.000000	20.000000
0.000000	1.000000	0.000000	0.500000	0.026400	0.000000	20.000000
-2.000000	-1.000000	0.000000	0.000000	0.000200	0.000000	21.000000
-1.000000	-1.000000	0.000000	0.750000	0.000100	1.000000	21.000000
-1.000000	0.000000	0.000000	0.250000	0.000700	1.000000	21.000000
-1.000000	1.000000	0.000000	0.750000	0.000100	1.000000	21.000000
0.000000	-2.000000	0.000000	0.000000	0.000100	0.000000	21.000000
0.000000	-1.000000	0.000000	0.500000	0.019800	0.000000	21.000000
0.000000	1.000000	0.000000	0.000000	0.135600	0.000000	21.000000
0.000000	2.000000	0.000000	0.500000	0.002900	0.000000	21.000000
1.000000	0.000000	0.000000	0.250000	0.000200	1.000000	21.000000
1.000000	1.000000	0.000000	0.250000	0.000100	1.000000	21.000000
0.000000	1.000000	0.000000	0.000000	0.019000	0.000000	22.000000
-2.000000	0.000000	0.000000	0.000000	0.034400	0.000000	23.000000
-2.000000	1.000000	0.000000	0.000000	0.010600	0.000000	23.000000
0.000000	0.000000	-2.000000	0.000000	0.013200	0.000000	23.000000
0.000000	1.000000	0.000000	0.500000	0.038400	0.000000	23.000000
0.000000	2.000000	0.000000	0.500000	0.018500	0.000000	23.000000
-2.000000	-1.000000	0.000000	0.000000	0.030000	0.000000	24.000000
-1.000000	0.000000	0.000000	0.250000	0.014100	1.000000	24.000000
0.000000	-1.000000	0.000000	0.500000	0.031700	0.000000	24.000000
0.000000	1.000000	0.000000	0.000000	0.199300	0.000000	24.000000
0.000000	-1.000000	0.000000	0.500000	0.029400	0.000000	25.000000
0.000000	1.000000	0.000000	0.000000	0.198000	0.000000	25.000000
0.000000	2.000000	0.000000	0.500000	0.004700	0.000000	25.000000
1.000000	-1.000000	0.000000	0.750000	0.002700	1.000000	25.000000
1.000000	0.000000	0.000000	0.250000	0.081600	1.000000	25.000000
1.000000	1.000000	0.000000	0.250000	0.033100	1.000000	25.000000
1.000000	2.000000	0.000000	0.250000	0.002700	1.000000	25.000000
2.000000	0.000000	0.000000	0.500000	0.015200	0.000000	25.000000
2.000000	1.000000	0.000000	0.500000	0.009800	0.000000	25.000000
2.000000	2.000000	0.000000	0.500000	0.005700	0.000000	25.000000
-2.000000	-1.000000	0.000000	0.500000	0.003700	0.000000	28.000000
-2.000000	0.000000	0.000000	0.000000	0.149600	0.000000	28.000000
-2.000000	1.000000	0.000000	0.000000	0.029600	0.000000	28.000000
-1.000000	0.000000	0.000000	0.250000	0.024000	1.000000	28.000000
-1.000000	1.000000	0.000000	0.250000	0.009900	1.000000	28.000000
0.000000	1.000000	0.000000	0.000000	0.639800	0.000000	28.000000
0.000000	2.000000	0.000000	0.000000	0.134200	0.000000	28.000000
0.000000	3.000000	0.000000	0.000000	0.008600	0.000000	28.000000
-2.000000	0.000000	0.000000	0.000000	0.061100	0.000000	29.000000
0.000000	1.000000	0.000000	0.000000	0.639900	0.000000	29.000000
0.000000	2.000000	0.000000	0.000000	0.131800	0.000000	29.000000
1.000000	0.000000	0.000000	0.250000	0.028900	1.000000	29.000000
1.000000	1.000000	0.000000	0.250000	0.025700	1.000000	29.000000
-1.000000	0.000000	0.000000	0.250000	0.104200	2.000000	34.000000
0.000000	-1.000000	0.000000	0.500000	0.038600	0.000000	34.000000
-1.000000	-1.000000	0.000000	0.250000	0.007500	2.000000	35.000000
-1.000000	0.000000	0.000000	0.250000	0.040200	2.000000	35.000000
0.000000	-1.000000	0.000000	0.500000	0.037300	0.000000	35.000000
-2.000000	-2.000000	0.000000	0.500000	0.006100	0.000000	39.000000
-1.000000	-1.000000	0.000000	0.250000	0.011700	2.000000	39.000000
-1.000000	0.000000	0.000000	0.250000	0.067800	2.000000	39.000000
0.000000	-1.000000	0.000000	0.500000	0.037400	0.000000	39.000000
-1.000000	-1.000000	0.000000	0.250000	0.001800	2.000000	40.000000
-1.000000	0.000000	0.000000	0.250000	0.010400	2.000000	40.000000
0.000000	-1.000000	0.000000	0.500000	0.037500	0.000000	40.000000
-2.000000	-2.000000	0.000000	0.500000	0.003900	0.000000	42.000000
-1.000000	0.000000	1.000000	0.000000	0.000800	0.000000	42.000000
0.000000	-2.000000	0.000000	0.000000	0.000500	0.000000	42.000000
0.000000	-1.000000	0.000000	0.500000	0.037300	0.000000	42.000000
0.000000	-1.000000	0.000000	0.500000	0.037300	0.000000	43.000000
1.000000	0.000000	0.000000	0.750000	0.004200	2.000000	43.000000
2.000000	0.000000	0.000000	0.000000	0.004200	0.000000	43.000000
2.000000	1.000000	0.000000	0.500000	0.003600	0.000000	43.000000
-2.000000	-2.000000	0.000000	0.000000	0.142900	0.000000	46.000000
-1.000000	0.000000	0.000000	0.250000	0.029300	2.000000	46.000000
0.000000	-1.000000	0.000000	0.500000	0.033000	0.000000	46.000000
0.000000	-1.000000	0.000000	0.500000	0.022400	0.000000	47.000000
1.000000	0.000000	-1.000000	0.500000	0.044700	0.000000	47.000000
-1.000000	-1.000000	0.000000	0.750000	0.000100	2.000000	48.000000
-1.000000	0.000000	0.000000	0.750000	0.000400	2.000000	48.000000
0.000000	-2.000000	0.000000	0.000000	0.000500	0.000000	48.000000
0.000000	-1.000000	0.000000	0.500000	0.037300	0.000000	48.000000
1.000000	-1.000000	0.000000	0.250000	0.000100	2.000000	48.000000
1.000000	0.000000	0.000000	0.750000	0.000900	2.000000	48.000000
1.000000	1.000000	0.000000	0.750000	0.000200	2.000000	48.000000
2.000000	0.000000	0.000000	0.000000	0.000600	0.000000	48.000000
2.000000	1.000000	0.000000	0.000000	0.000200	0.000000	48.000000
0.000000	-1.000000	0.000000	0.500000	0.021700	0.000000	49.000000
0.000000	-1.000000	0.000000	0.500000	0.044800	0.000000	53.000000
0.000000	-1.000000	0.000000	0.500000	0.036600	0.000000	54.000000
2.000000	-1.000000	0.000000	0.000000	0.004700	0.000000	54.000000
2.000000	0.000000	0.000000	0.500000	0.250500	0.000000	54.000000
2.000000	1.000000	0.000000	0.500000	0.110200	0.000000	54.000000
2.000000	2.000000	0.000000	0.500000	0.015600	0.000000	54.000000
0.000000	-1.000000	0.000000	0.000000	0.002200	0.000000	57.000000
1.000000	0.000000	0.000000	0.750000	0.000100	2.000000	57.000000
2.000000	0.000000	0.000000	0.000000	0.000100	0.000000	57.000000
0.000000	0.000000	2.000000	0.500000	0.253500	0.000000	58.000000
0.000000	1.000000	2.000000	0.000000	0.014100	0.000000	58.000000
-1.000000	0.000000	0.000000	0.750000	0.002400	2.000000	59.000000
-1.000000	1.000000	0.000000	0.750000	0.000400	2.000000	59.000000
0.000000	-1.000000	0.000000	0.500000	0.012800	0.000000	59.000000
0.000000	1.000000	0.000000	0.000000	0.298000	0.000000	59.000000
0.000000	2.000000	0.000000	0.000000	0.032400	0.000000	59.000000
0.000000	-1.000000	0.000000	0.500000	0.018700	0.000000	61.000000
0.000000	1.000000	0.000000	0.000000	0.435500	0.000000	61.000000
0.000000	2.000000	0.000000	0.000000	0.046700	0.000000	61.000000
1.000000	0.000000	0.000000	0.750000	0.074700	2.000000	61.000000
1.000000	1.000000	0.000000	0.750000	0.048200	2.000000	61.000000
1.000000	2.000000	0.000000	0.750000	0.009300	2.000000	61.000000
2.000000	0.000000	0.000000	0.500000	0.007800	0.000000	61.000000
0.000000	-1.000000	0.000000	0.500000	0.056400	0.000000	69.000000
